date,baseline,lightweight,regularized,bilstm,buy_hold
2024-09-12,0.999,1.012669279499548,1.0,1.0,1.013669279499548
2024-09-13,1.0410087787284246,1.012669279499548,1.0,0.999,1.0562949135999464
2024-09-14,1.0312781304276097,1.012669279499548,1.0,0.9886630214438652,1.046421380815011
2024-09-15,1.0171459249898276,1.0116566102200484,1.0,0.9886630214438652,1.0320816585889285
2024-09-16,1.0001256487426682,0.994728188692545,1.0,0.9886630214438652,1.0148114572272253
2024-09-17,1.0364928239378814,1.0299043699843542,1.0,0.9876743584224214,1.0517126466942581
2024-09-18,1.0595423398988544,1.0299043699843542,1.0,1.0086505755284958,1.0751006209054421
2024-09-19,1.0817262872286342,1.0299043699843542,1.0,1.0086505755284958,1.0976103165072777
2024-09-20,1.0860662146437807,1.0299043699843542,1.0,1.0086505755284958,1.1020139712580204
2024-09-21,1.0895355383197423,1.0288744656143698,1.0,1.0086505755284958,1.1055342383560811
2024-09-22,1.0938986943664248,1.032994698216278,1.0,1.0086505755284958,1.1099614628267367
2024-09-23,1.0884177443455418,1.027818906031939,1.0,1.0086505755284958,1.1044000307360045
2024-09-24,1.105125911031977,1.0435968274179754,1.0,1.0086505755284958,1.1213535395315972
2024-09-25,1.0852097763417463,1.0247895451258198,1.0,1.0086505755284958,1.1011449570472507
2024-09-26,1.1202337189942686,1.0578634917874359,1.0,1.0086505755284958,1.1366831899940133
2024-09-27,1.1307113759167609,1.0677577937976714,1.0,1.0086505755284958,1.1473147004479334
2024-09-28,1.1323781980663974,1.069331813816446,1.0,1.0086505755284958,1.1490059981531147
2024-09-29,1.1280412917160458,1.0652363694305578,1.0,1.0086505755284958,1.1446054088283721
2024-09-30,1.0884125749680031,1.0278140244651013,1.0,1.0086505755284958,1.1043947854515153
2024-10-01,1.0455753531379792,0.9863339973932855,1.0,1.0076419249529673,1.0609285434212823
2024-10-02,1.0420654800589897,0.9863339973932855,1.0,1.0042593899161196,1.057367131494241
2024-10-03,1.044241586598313,0.9853476633958922,1.0,1.0063565474051572,1.0595751919024794
2024-10-04,1.0667228067039343,1.0065609707240593,1.0,1.0270157932789774,1.0823865254227356
2024-10-05,1.0671090330542992,1.0069254143899296,1.0,1.0270157932789774,1.0827784231067177
2024-10-06,1.0796380601074624,1.0187478199423405,1.0,1.0270157932789774,1.0954914259353565
2024-10-07,1.0696304808670933,1.0093046556905991,1.0,1.0270157932789774,1.0853368957670688
2024-10-08,1.0678312018098832,1.007606853728321,1.0,1.0259887774856984,1.0835111961619228
2024-10-09,1.0411944063763918,0.9824723403383258,1.0,1.0003957313782013,1.0564832669975144
2024-10-10,1.035907811523996,0.9774839028426519,1.0,0.9953162890651478,1.0511190439794622
2024-10-11,1.0732126580968462,1.0117073186891123,1.0,1.0311593641360939,1.0889716735563815
2024-10-12,1.0860670202610587,1.0106956113704233,1.0,1.0424788752710645,1.1020147887049536
2024-10-13,1.0801952787252316,1.0052313598181244,1.0,1.0424788752710645,1.09605682673095
2024-10-14,1.1351018558161452,1.0553222721270639,1.0,1.0424788752710645,1.1517696499937458
2024-10-15,1.1522021567129892,1.0553222721270639,1.0,1.0424788752710645,1.1691210510841656
2024-10-16,1.162026122348587,1.0553222721270639,1.0,1.0424788752710645,1.1790892714722185
2024-10-17,1.158367411477357,1.0542669498549369,1.0,1.0424788752710645,1.1753768362242336
2024-10-18,1.1758796513427112,1.0702053952264519,1.0,1.0424788752710645,1.193146225179926
2024-10-19,1.1749162673469287,1.0693285888723458,1.0,1.0424788752710645,1.1921686948887487
