date,equity,position,kelly_fraction,vol_target_factor,raw_prob
2024-09-11,1.0,0.0,0.08470356464385986,0.5750876126313857,0.5423518
2024-09-12,0.9999680624645477,0.03193753545232804,0.055535078048706055,0.5750876126313857,0.52776754
2024-09-13,1.0013028678612297,0.04008936682205861,0.06971001625061035,0.5750876126313857,0.534855
2024-09-14,1.0009021975900547,0.06550992072698902,0.11391294002532959,0.5750876126313857,0.55695647
2024-09-15,0.9999961834571559,0.05803308962356826,0.10091173648834229,0.5750876126313857,0.55045587
2024-09-16,0.9990119804088472,0.04491528280282369,0.07810163497924805,0.5750876126313857,0.5390508
2024-09-17,1.000624158698359,0.025451266896938007,0.04425632953643799,0.5750876126313857,0.52212816
2024-09-18,1.0011709709876153,0.04496505430326457,0.07818818092346191,0.5750876126313857,0.5390941
2024-09-19,1.0020915219380255,0.06693725218591348,0.11639487743377686,0.5750876126313857,0.55819744
2024-09-20,1.00234653362024,0.08101264622175205,0.1408700942993164,0.5750876126313857,0.57043505
2024-09-21,1.0026009545907288,0.07605167534309643,0.13224363327026367,0.5750876126313857,0.5661218
2024-09-22,1.0028967378916294,0.06651097231023662,0.1156536340713501,0.5750876126313857,0.5578268
2024-09-23,1.002559906587016,0.06911794317423857,0.12018680572509766,0.5750876126313857,0.5600934
2024-09-24,1.0036223933029738,0.07036517858404708,0.12235558032989502,0.5750876126313857,0.5611778
2024-09-25,1.0023340554685947,0.08596004305483289,0.14947295188903809,0.5750876126313857,0.5747365
2024-09-26,1.0050863147480473,0.05754524665230474,0.10006344318389893,0.5750876126313857,0.5500317
2024-09-27,1.0056113102522373,0.07343291288394871,0.12768995761871338,0.5750876126313857,0.563845
2024-09-28,1.0057066134472967,0.08691159736078254,0.15112757682800293,0.5750876126313857,0.5755638
2024-09-29,1.0053529647951518,0.06813320786799501,0.11847448348999023,0.5750876126313857,0.55923724
2024-09-30,1.0029431384840135,0.0646953408809304,0.11249649524688721,0.5750876126313857,0.55624825
2024-10-01,1.0003718130662504,0.04716378226072319,0.08164429664611816,0.5776739367986903,0.54082215
2024-10-02,1.000187379232325,0.02112174931747938,0.033042192459106445,0.6392357088174461,0.5165211
2024-10-03,1.0002311544016835,0.020780955051564645,0.033179283142089844,0.626323207845404,0.51658964
2024-10-04,1.0006734824088257,0.025943236972700966,0.040740966796875,0.6367850105778766,0.5203705
2024-10-05,1.0006677477235106,0.041067282424434734,0.06304454803466797,0.6514010125324712,0.5315223
2024-10-06,1.0011461424127168,0.03696793042625956,0.05271792411804199,0.7012402526223104,0.52635896
2024-10-07,1.0007877360160014,0.05229408763992891,0.07186412811279297,0.7276799846211413,0.53593206
2024-10-08,1.000693970523634,0.058019269135557744,0.08061957359313965,0.7196672786730655,0.5403098
2024-10-09,0.9992402883046585,0.06341650161662954,0.08791875839233398,0.7213079754110711,0.5439594
2024-10-10,0.9988983534135778,0.04321468000657472,0.06665444374084473,0.6483390691038576,0.5333272
2024-10-11,1.0004393307405544,0.029655512511411235,0.04616403579711914,0.6423942794287038,0.523082
2024-10-12,1.0007778628374644,0.04646980600496508,0.0723581314086914,0.6422195418852854,0.53617907
2024-10-13,1.0005163012691756,0.05659248206012314,0.1010277271270752,0.5601678239176826,0.55051386
2024-10-14,1.0033586252299167,0.02084068752059436,0.03670358657836914,0.5678106545826394,0.5183518
2024-10-15,1.0036513362057986,0.04307432758940272,0.07235896587371826,0.595286666542147,0.5361795
2024-10-16,1.0039971595306718,0.06577168637452965,0.11026489734649658,0.5964879844566363,0.55513245
2024-10-17,1.0037716693705734,0.048265466629794855,0.08176279067993164,0.5903109009419052,0.5408814
2024-10-18,1.0045003024815065,0.04448169363350105,0.07523488998413086,0.5912375713300503,0.53761744
2024-10-19,1.0044476567805845,0.060448220085887974,0.09327900409698486,0.6480367224229605,0.5466395
2024-10-20,1.0050092934573136,0.06629228700011841,0.09381914138793945,0.706596607253116,0.5469096
2024-10-21,1.003400920961171,0.0969512715637598,0.13668417930603027,0.7093086563199817,0.5683421
2024-10-22,1.00336737249282,0.07279217154074026,0.10554099082946777,0.6897052128149642,0.5527705
2024-10-23,1.0023554270587156,0.06836804562166522,0.10045552253723145,0.6805802597495447,0.55022776
2024-10-24,1.004112481185003,0.04205452720657778,0.06498599052429199,0.6471322029146828,0.532493
2024-10-25,1.0031399980464295,0.07357225543208751,0.11319351196289062,0.6499688379331091,0.55659676
2024-10-26,1.0035284390261678,0.0498042660804875,0.07618200778961182,0.6537536555616852,0.538091
2024-10-27,1.004195204213365,0.034507608577635185,0.05468332767486572,0.6310444160020647,0.52734166
2024-10-28,1.0051990807971436,0.039869241937503304,0.06313347816467285,0.6315071353032574,0.53156674
2024-10-29,1.006808194714399,0.04321448734697859,0.0684518814086914,0.6313119005300503,0.53422594
2024-10-30,1.0065566574260252,0.06666769242656734,0.10953795909881592,0.6086263882863233,0.554769
2024-10-31,1.004579470989829,0.06015041247616038,0.10011410713195801,0.6008185479482683,0.55005705
2024-11-01,1.003902321039842,0.013776802175127466,0.022864222526550293,0.6025484644898652,0.5114321
2024-11-02,1.003853837047329,0.00378753558446176,0.005435585975646973,0.6968035463758712,0.5027178
2024-11-03,1.0038058123988178,0.021664139984247422,0.031186580657958984,0.6946622402067864,0.5155933
2024-11-04,1.003492438433641,0.04087849289093503,0.06078004837036133,0.6725643362743512,0.53039
2024-11-05,1.0044031030758158,0.015167224295407188,0.03284740447998047,0.46174802957875005,0.5164237
2024-11-06,1.0057670903680123,0.0,0.0,0.4630718723195978,0.4989525
2024-11-07,1.0057250838370329,0.041765664617231295,0.09007573127746582,0.46367277872635804,0.54503787
2024-11-08,1.0060789832842383,0.04237208840873337,0.0913693904876709,0.4637448951183594,0.5456847
2024-11-09,1.0061827651849016,0.016332495909977863,0.03606271743774414,0.4528914366526318,0.51803136
2024-11-10,1.0069650780170316,0.024899921667161155,0.06836116313934326,0.3642407548918771,0.5341806
2024-11-11,1.0094978550011076,0.055291064772107795,0.15087294578552246,0.3664743502172239,0.5754365
2024-11-12,1.0089999105077878,0.0837445396691145,0.22903120517730713,0.36564685412314324,0.6145156
2024-11-13,1.0115101810979399,0.06911680562838012,0.19431185722351074,0.35570040148850646,0.5971559
2024-11-14,1.0089164659924397,0.0485955003414429,0.13869524002075195,0.3503761220224422,0.5693476
2024-11-15,1.011050508260136,0.03863151395160092,0.11124718189239502,0.34725836011709177,0.5556236
2024-11-16,1.0108313465038357,0.03716721262958053,0.10758793354034424,0.3454589321175432,0.55379397
2024-11-17,1.0105327148626322,0.0401217831032965,0.11439990997314453,0.3507151632611872,0.55719995
2024-11-18,1.0108353573436744,0.028450014756957725,0.08071064949035645,0.3524939389857967,0.5403553
2024-11-19,1.0114072957957285,0.02830672002851817,0.07720541954040527,0.3666416191638453,0.5386027
2024-11-20,1.0120224131774318,0.03188240239940795,0.08697450160980225,0.3665718320806649,0.54348725
2024-11-21,1.0134431001342425,0.03572996463521149,0.09688639640808105,0.3687820577485256,0.5484432
2024-11-22,1.0136124805199442,0.047396315017491274,0.1292496919631958,0.3667035046473264,0.56462485
2024-11-23,1.0130146834836045,0.04190035431946278,0.112274169921875,0.37319674105467693,0.5561371
2024-11-24,1.0130984194859924,0.023196824231474705,0.06832623481750488,0.33950098806749673,0.5341631
2024-11-25,1.0119207638081436,0.023172047110444516,0.06079280376434326,0.3811643101750736,0.5303964
2024-11-26,1.0116231732369305,0.007089286425024695,0.01902294158935547,0.3726703565652326,0.5095115
2024-11-27,1.0119328542132875,0.006689457192981307,0.018040776252746582,0.37079652778038774,0.5090204
2024-11-28,1.01190421284982,0.0,0.0,0.3711065851701115,0.498546
2024-11-29,1.01190421284982,0.0,0.0,0.379093457436871,0.4961092
2024-11-30,1.01190421284982,0.0,0.0,0.5019868409300208,0.49728733
2024-12-01,1.01190421284982,0.0,0.0,0.49785880042222486,0.496068
2024-12-02,1.01190421284982,0.0,0.0,0.5121276626097969,0.49666432
2024-12-03,1.01190421284982,0.0,0.0,0.5400622164812867,0.49175724
2024-12-04,1.01190421284982,0.0,0.0,0.5620134841125595,0.4876568
2024-12-05,1.011897180547593,0.006949573030395864,0.012885570526123047,0.5393298664042019,0.5064428
2024-12-06,1.012132372447963,0.0,0.0,0.5431942251975754,0.48877928
2024-12-07,1.012132372447963,0.0,0.0,0.5418474346670625,0.48502985
2024-12-08,1.012132372447963,0.0,0.0,0.5056496033640868,0.48598728
2024-12-09,1.0121139479276597,0.018203666639517977,0.03557896614074707,0.5116412480201356,0.5177895
2024-12-10,1.011952323040807,0.0,0.0,0.5070938660222332,0.49925533
2024-12-11,1.011952323040807,0.0,0.0,0.5041076437694069,0.49269503
2024-12-12,1.011952323040807,0.0,0.0,0.504749038245554,0.49425638
2024-12-13,1.011952323040807,0.0,0.0,0.5045707320070336,0.49263552
2024-12-14,1.011952323040807,0.0,0.0,0.562167873605844,0.4908068
2024-12-15,1.011952323040807,0.0,0.0,0.5696345673314925,0.49181244
2024-12-16,1.011952323040807,0.0,0.0,0.6156048399302958,0.49014717
2024-12-17,1.011941720899388,0.010476917911563091,0.020611047744750977,0.5083156393265477,0.5103055
2024-12-18,1.0113034747445748,0.03916549031090157,0.07842111587524414,0.4994253126059543,0.53921056
2024-12-19,1.010263568886281,0.009417505710661111,0.018764853477478027,0.5018693975929095,0.5093824
2024-12-20,1.0102821581654955,0.0022215220931886413,0.0044214725494384766,0.5024394177163382,0.50221074
2024-12-21,1.0102687284431437,0.003442871253917027,0.006927967071533203,0.49695260072232095,0.503464
2024-12-22,1.0101807634771423,0.015448866755208599,0.031105756759643555,0.49665619372591113,0.5155529
2024-12-23,1.0101102013327872,0.013610816715975816,0.028445959091186523,0.478479796457026,0.514223
2024-12-24,1.010681070603741,0.0052390209493533,0.010738968849182129,0.4878513964357294,0.5053695
2024-12-25,1.0107057904944405,0.013862776151127838,0.028474807739257812,0.48684353826261045,0.5142374
2024-12-26,1.0102016599237789,0.02351824468529651,0.048712730407714844,0.4827946306530957,0.52435637
2024-12-27,1.009790196167494,0.016543406023207467,0.034168243408203125,0.48417490549823583,0.5170841
2024-12-28,1.0099612157849516,0.010382713802317848,0.020572423934936523,0.5046908344468687,0.5102862
2024-12-29,1.0097716089726836,0.019876779806022597,0.03942298889160156,0.5041926136213641,0.5197115
2024-12-30,1.009556578489662,0.04432034492492676,0.04432034492492676,1.0,0.5221602
