strategy,final_value,sharpe,max_dd,n_trades,circuit_breaker
Simple (all-in/out),1.477445315424091,2.5542100404234565,-0.13955232197658787,4,False
Risk-Managed (Kelly+Vol+DD),1.009556578489662,1.4829162909165035,-0.00676962838136463,54,False
Buy & Hold,1.6155927185096954,2.963327339579482,-0.12716519810802213,1,False
