feature,mean_abs_shap
llm_pos_share_lag5,0.023999054651556846
pos_share,0.014408794029235873
macd_hist,0.009592492433580872
news_count,0.009061460268659121
neg_share,0.006967698008447927
bb_width,0.006658244586808855
ret_7d,0.006215211852100889
mean_polarity,0.006095971845079473
llm_sent_lag3,0.005423506115104748
llm_sent_lag1,0.004958152915151091
ret_3d,0.004722320703543018
rsi_14,0.0044790479481681775
bb_pct_b,0.003200370064115062
vol_7d,0.0029211342186400316
macd_line,0.002603088148768091
vol_21d,0.0022382535465364905
llm_sent_3d_ma,0.0017821378290949332
llm_sent_lag5,0.001568707526767312
llm_pos_share_lag3,0.00156100787628828
ret_1d,0.0013209898839235742
llm_sent_5d_ma,0.0009080118052967821
llm_pos_share_lag1,0.0007467070955667782
llm_sent_lag2,0.0003960188836147651
